,0
0,-181.29359748755323
1,-505.4565741469982
2,-419.00048452492354
3,-200.62722519744628
4,-387.76063732370244
5,-315.3948780033646
6,-130.5519227515021
7,-435.96050885958294
8,-351.9073348953692
9,-566.2436328702527
10,-357.05106938523653
11,-237.3603161440689
12,-266.7472341728918
13,-111.57865732300604
14,-119.69004000444636
15,-130.39082517068658
16,-191.0635096363054
17,-243.6088324997823
18,-291.4013745539355
19,-330.09586827416626
20,-243.85517344705067
21,-242.16716551824655
22,-254.41752181038635
23,-300.4286506646954
24,-423.85318067750154
25,-311.876919623827
26,-275.7931147909911
27,-26.607585182021296
28,-334.30685713126445
29,-265.81409601553463
30,-62.87266145133848
31,-337.6395640224612
32,-311.14247776187875
33,-235.20174477002692
34,-122.9962131340759
35,-160.90104419454929
36,-149.04600751483886
37,-60.60186473028288
38,-94.48732881985165
39,-132.0065698223928
40,-325.6408177578004
41,-78.50601685965972
42,-159.25966766325584
43,-32.45608582660236
44,-87.88972438364897
45,-86.62617108596773
46,-25.42789263654896
47,-18.607634983735494
48,-43.73058088239138
49,-71.96190302654676
50,-120.4522978581568
51,-29.415611750051667
52,-55.56842167204259
53,-99.65006298874093
54,-30.203149024530532
55,-100.17319481705579
56,-141.12120851938877
57,-187.74951424390986
58,-89.84081710481509
59,-62.69834218734232
60,-126.28241686172876
61,-111.0681319333408
62,-122.20971734272423
63,-74.43318221531999
64,-159.17278223226577
65,-160.38155707046081
66,-75.66204466940556
67,-46.2188528633133
68,-40.7469415659123
69,-16.245591476907506
70,-60.96547794147179
71,-165.71987837354152
72,-159.58707557339292
73,-9.857813658304835
74,20.532934392338944
75,-117.98445305516745
76,-41.364141031256295
77,-25.820574846203968
78,-399.03127176964375
79,-113.76349240828321
80,-33.32578504475792
81,-209.94247799390996
82,208.44182745430476
83,-78.92183168970985
84,-40.74604443188176
85,-197.26382805633193
86,-294.4384714076573
87,-274.5186264815745
88,-301.35457665961496
89,168.8540979071645
90,-68.20707778916459
91,-14.008020749808168
92,-533.7526487399163
93,-220.04915889640304
94,-120.77044926651179
95,-108.20638968412977
96,-173.81957269806745
97,0.46013224433832534
98,-180.2096201681768
