,0
0,27.0
1,29.0
2,14.0
3,13.0
4,24.0
5,9.0
6,14.0
7,19.0
8,18.0
9,22.0
10,13.0
11,13.0
12,21.0
13,11.0
14,23.0
15,15.0
16,18.0
17,24.0
18,22.0
19,16.0
20,16.0
21,17.0
22,85.0
23,47.0
24,46.0
25,23.0
26,11.0
27,23.0
28,98.0
29,105.0
30,93.0
31,137.0
32,84.0
33,57.0
34,93.0
35,56.0
36,143.0
37,141.0
38,83.0
39,101.0
40,63.0
41,44.0
42,31.0
43,32.0
44,23.0
45,39.0
46,33.0
47,33.0
48,70.0
49,103.0
50,198.0
51,106.0
52,46.0
53,76.0
54,55.0
55,70.0
56,200.0
57,144.0
58,200.0
59,100.0
60,98.0
61,119.0
62,55.0
63,196.0
64,139.0
65,200.0
66,161.0
67,119.0
68,196.0
69,200.0
70,200.0
71,200.0
72,200.0
73,200.0
74,200.0
75,200.0
76,200.0
77,200.0
78,200.0
79,200.0
80,200.0
81,74.0
82,67.0
83,200.0
84,200.0
85,200.0
86,200.0
87,200.0
88,200.0
89,200.0
90,200.0
91,200.0
92,200.0
93,200.0
94,200.0
95,200.0
96,200.0
97,200.0
98,200.0
99,200.0
100,200.0
101,200.0
102,200.0
103,200.0
104,200.0
105,200.0
106,200.0
107,115.0
108,187.0
109,73.0
110,200.0
111,200.0
112,200.0
113,200.0
114,200.0
115,200.0
116,200.0
117,200.0
118,200.0
119,200.0
120,200.0
121,200.0
122,200.0
123,200.0
124,86.0
125,200.0
126,200.0
127,20.0
128,200.0
129,200.0
130,200.0
131,171.0
132,200.0
133,200.0
134,200.0
135,200.0
136,200.0
137,200.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,200.0
145,200.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,67.0
176,200.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,200.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,163.0
204,200.0
205,200.0
206,200.0
207,185.0
208,200.0
209,200.0
210,200.0
211,200.0
212,200.0
213,200.0
214,200.0
215,200.0
216,200.0
217,200.0
218,200.0
219,200.0
220,200.0
221,200.0
222,200.0
223,200.0
224,200.0
225,200.0
226,200.0
227,200.0
228,200.0
229,200.0
230,200.0
231,200.0
232,200.0
233,200.0
234,200.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,200.0
242,200.0
243,200.0
244,200.0
245,200.0
246,200.0
247,200.0
248,200.0
249,17.0
250,9.0
251,10.0
252,200.0
253,200.0
254,200.0
255,200.0
256,200.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,200.0
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,200.0
275,200.0
276,200.0
277,200.0
278,200.0
279,200.0
280,200.0
281,200.0
282,200.0
283,200.0
284,200.0
285,200.0
286,200.0
287,200.0
288,200.0
289,200.0
290,200.0
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,200.0
297,200.0
298,200.0
299,200.0
