,0
0,-89.66898988652802
1,-112.780738602418
2,-114.61615020948435
3,-170.37988575033756
4,-94.61626480933707
5,-275.9578332632211
6,-115.85093187031966
7,-39.93678577302983
8,-237.5273496752712
9,-142.64760750792712
10,-643.4448054471275
11,-1912.5733296147255
12,-260.9455259817984
13,-147.83972523066083
14,-310.57332737531556
15,-176.54439203973357
16,-224.5645512604
17,-195.3002508448888
18,-389.44887776659806
19,-537.7501063172459
20,-473.36162838689876
21,-830.4287405214408
22,-455.38005032535875
23,-1322.8369013197141
24,-215.5117033281095
25,-99.39459828606846
26,-200.8849758631853
27,-355.2241583402627
28,-181.21638608251396
29,-685.4881982091765
30,-387.2402130768414
31,-194.9855040627516
32,-228.79360296297057
33,-352.96684152542934
34,-14.392636358424696
35,-158.54453703588518
36,-141.64200891924273
37,-192.72706147767303
38,-148.44752653358896
39,-288.31262231014244
40,-271.5878172346209
41,-84.4445399798553
42,-290.85453159484666
43,-171.77335540690518
44,-482.7657458214063
45,-242.02261285525586
46,-165.08005984265566
47,-147.98714302018618
48,-63.90926703067299
49,-377.7083090106504
50,-188.85342671584397
51,-216.2842332456076
52,-107.22622792676118
53,-325.32949026874655
54,-389.0900324325321
55,-90.60613645440912
56,-230.58242336641632
57,-121.79205552861477
58,-321.7477075744472
59,-20.985198481350892
60,-1.093121832743094
61,-42.49493600013805
62,-58.7100357569222
63,-85.8043050557306
64,-155.50666563346078
65,-224.53599209093642
66,-81.58175565926138
67,-260.95394257508394
68,-166.54032052583497
69,-104.18293421020033
70,22.222073527341365
71,-80.60559834908125
72,-16.274153321293824
73,-389.96164085444974
74,-69.26909252843399
75,-175.21348971050963
76,-125.04719914063426
77,-245.32669444715114
78,-391.09499619036967
79,-192.1810928729708
80,-85.27292909709855
81,-10.53908696453911
82,-134.62093510461676
83,-48.80604797555758
84,-23.749387462628263
85,-23.851039514933007
86,-18.814755086195134
87,-9.587219945295644
88,-62.928479654812676
89,40.601911375203315
90,-30.849926501704843
91,-84.6697301999325
92,-84.87506069764811
93,8.537955228071084
94,-79.57697331456451
95,-420.45695890766973
96,-16.241957430951516
97,-6.689584409615321
98,-182.5847141940907
99,-70.55108713582383
100,-50.19976124525525
101,-39.13418743577353
102,-56.03680268657751
103,-58.183013451005266
104,-191.378205383421
105,17.89985418107888
106,-293.7417859031678
107,-84.50380240206024
108,-191.5484107112816
109,-56.305892399260394
110,-195.04774039220436
111,-392.8020372554499
112,-75.95457009502692
113,-230.0080902272813
114,-61.30293148799479
115,-34.6589304728484
116,-61.948068171246895
117,-63.194184037194795
118,-80.85883975594464
